8KB,32KB,1MB
[6.2004199792830965],[12.400839958566193],[62.00419979283097]
[6.20043580043904],[12.40087160087808],[62.004358004390404]
[6.20044056725129],[12.40088113450258],[62.004405672512895]
[6.200439695272891],[12.400879390545782],[62.00439695272891]
[6.200442194944956],[12.400884389889912],[62.004421949449565]
[6.2496988000752935],[12.499397600150587],[62.496988000752935]
[6.249678674087122],[12.499357348174245],[62.49678674087122]
[6.249750399397534],[12.499500798795069],[62.49750399397534]
[6.249682654913994],[12.499365309827988],[62.496826549139946]
[6.249680948844714],[12.499361897689427],[62.496809488447134]
[6.249870537140619],[12.499741074281237],[62.49870537140618]
[6.24993592175277],[12.49987184350554],[62.499359217527704]
[6.24982571024102],[12.49965142048204],[62.4982571024102]
[6.249957281022521],[12.499914562045042],[62.49957281022522]
[6.249949271279256],[12.499898542558512],[62.49949271279256]
[6.250470819250606],[12.500941638501212],[62.50470819250606]
[6.251261327334747],[12.502522654669495],[62.512613273347476]
[6.250240305129841],[12.500480610259682],[62.50240305129841]
[6.251353639567622],[12.502707279135244],[62.51353639567622]
[6.251245942227658],[12.502491884455315],[62.51245942227658]
