8KB,32KB,1MB
[6.176383546380252],[12.352767092760503],[61.76383546380252]
[6.176395485476772],[12.352790970953544],[61.763954854767725]
[6.176397158252582],[12.352794316505165],[61.76397158252582]
[6.176396985206766],[12.352793970413533],[61.76396985206766]
[6.176397273616463],[12.352794547232927],[61.76397273616464]
[6.225440242878537],[12.450880485757073],[62.25440242878536]
[6.225433265437822],[12.450866530875643],[62.25433265437822]
[6.225509246650547],[12.451018493301094],[62.255092466505474]
[6.225430569409079],[12.450861138818158],[62.25430569409079]
[6.225432011470674],[12.450864022941348],[62.254320114706736]
[6.249973622372729],[12.499947244745458],[62.49973622372729]
[6.249986037740546],[12.499972075481091],[62.499860377405454]
[6.250011914510729],[12.500023829021458],[62.5001191451073]
[6.249988697213727],[12.499977394427454],[62.49988697213727]
[6.249994016166881],[12.499988032333762],[62.49994016166881]
[6.250160224445529],[12.500320448891058],[62.50160224445529]
[6.25036000848088],[12.50072001696176],[62.5036000848088]
[6.250076294876646],[12.500152589753291],[62.500762948766464]
[6.25039447955355],[12.5007889591071],[62.5039447955355]
[6.2503370279769985],[12.500674055953997],[62.50337027976999]
