8KB,32KB,1MB
[13.235107599386255],[14.999788612637756],[24.70553418552101]
[13.235133183164512],[14.999817607586447],[24.705581941907088]
[13.235136767684104],[14.999821670041984],[24.705588633010326]
[13.235136396871642],[14.99982124978786],[24.705587940827066]
[13.235137014892423],[14.999821950211413],[24.705589094465854]
[13.340229091882577],[15.118926304133588],[24.901760971514143]
[13.340214140223903],[15.118909358920424],[24.901733061751287]
[13.340376957108315],[15.119093884722757],[24.902036986602187]
[13.340208363019453],[15.118902811422046],[24.90172227763631]
[13.340211453151444],[15.118906313571637],[24.901728045882695]
[13.392800619370133],[15.178507368619485],[24.999894489490917]
[13.39282722372974],[15.178537520227037],[24.99994415096218]
[13.392882673951563],[15.178600363811771],[25.000047658042917]
[13.392832922600844],[15.178543978947623],[24.999954788854907]
[13.3928443203576],[15.178556896405281],[24.99997606466752]
[13.393200480954706],[15.178960545081999],[25.000640897782116]
[13.393628589601885],[15.179445734882137],[25.00144003392352]
[13.393020631878528],[15.178756716128998],[25.000305179506583]
[13.393702456186178],[15.179529450344335],[25.0015779182142]
[13.393579345664996],[15.179389925086996],[25.001348111907994]
