8KB,32KB,1MB
[13.379926055827017],[15.163916196603951],[24.975861970877098]
[13.380063001571042],[15.164071401780514],[24.97611760293261]
[13.380187772009865],[15.164212808277846],[24.976350507751746]
[13.380123075936297],[15.164139486061137],[24.976229741747755]
[13.380146181605037],[15.164165672485709],[24.976272872329403]
[13.38091677778891],[15.165039014827432],[24.9777113185393]
[13.380864903452295],[15.164980223912602],[24.977614486444285]
[13.380908070477265],[15.165029146540899],[24.977695064890895]
[13.380705417815015],[15.164799473523683],[24.97731677992136]
[13.380964583906232],[15.165093195093728],[24.977800556624967]
[13.382257716382473],[15.16655874523347],[24.980214403913948]
[13.385548165784092],[15.17028792122197],[24.986356576130305]
[13.38446187107421],[15.169056787217437],[24.984328826005193]
[13.386110111550916],[15.17092479309104],[24.98740554156171]
[13.387140468010111],[15.172092530411458],[24.989328873618874]
[13.394786115512025],[15.180757597580294],[25.00360074895578]
[13.409077801487973],[15.19695484168637],[25.03027856277755]
[13.391802470913554],[15.177376133702028],[24.99803127903863]
[13.415035225286042],[15.203706588657514],[25.04139908720061]
[13.417744895485864],[15.206777548217314],[25.04645713824028]
