8KB,32KB,1MB
[13.28661424132092],[15.058162806830378],[24.801679917132386]
[13.286648143797944],[15.05820122963767],[24.80174320175616]
[13.28665835839562],[15.058212806181702],[24.801762269005156]
[13.28665648987048],[15.058210688519878],[24.801758781091564]
[13.28666184631062],[15.058216759152037],[24.801768779779824]
[13.392211714447058],[15.177839943039999],[24.998795200301174]
[13.392168587329548],[15.177791065640154],[24.99871469634849]
[13.392322284423289],[15.177965255679728],[24.99900159759014]
[13.392177117672844],[15.177800733362556],[24.998730619655976]
[13.3921734618101],[15.177796590051447],[24.998723795378854]
[13.392579722444182],[15.178257018770074],[24.999482148562475]
[13.392719832327364],[15.178415809971012],[24.99974368701108]
[13.392483664802185],[15.178148153442477],[24.99930284096408]
[13.392765602191115],[15.178467682483264],[24.999829124090084]
[13.39274843845555],[15.178448230249623],[24.999797085117027]
[13.393866041251298],[15.179714846751471],[25.001883277002424]
[13.395559987145887],[15.181634652098671],[25.00504530933899]
[13.39337208242109],[15.179155026743901],[25.000961220519365]
[13.395757799073476],[15.181858838949939],[25.005414558270488]
[13.395527019059267],[15.181597288267168],[25.00498376891063]
