8KB,32KB,1MB
[6.2484938342970455],[12.496987668594091],[62.48493834297045]
[6.2485039489794625],[12.497007897958925],[62.48503948979462]
[6.248520951573946],[12.497041903147892],[62.485209515739456]
[6.24851670091665],[12.4970334018333],[62.485167009166496]
[6.248523076904762],[12.497046153809524],[62.48523076904762]
[6.248711152719705],[12.49742230543941],[62.48711152719705]
[6.248713865819478],[12.497427731638956],[62.48713865819477]
[6.248634515382322],[12.497269030764643],[62.486345153823216]
[6.24870011323458],[12.49740022646916],[62.4870011323458]
[6.248704697422819],[12.497409394845638],[62.48704697422819]
[6.2496283146425675],[12.499256629285135],[62.496283146425675]
[6.249440292081425],[12.49888058416285],[62.494402920814245]
[6.249228490309838],[12.498456980619675],[62.49228490309837]
[6.249408004298535],[12.49881600859707],[62.494080042985345]
[6.24950486864811],[12.49900973729622],[62.4950486864811]
[6.251139055950428],[12.502278111900855],[62.51139055950428]
[6.253598300609477],[12.507196601218954],[62.535983006094774]
[6.249951559775237],[12.499903119550474],[62.49951559775237]
[6.254032858490098],[12.508065716980196],[62.540328584900976]
[6.254343293954135],[12.50868658790827],[62.54343293954135]
