8KB,32KB,1MB
[13.389629644922241],[15.17491359757854],[24.993975337188182]
[13.389651319241704],[15.174938161807265],[24.994015795917846]
[13.389687753372739],[15.174979453822438],[24.99408380629578]
[13.389678644821393],[15.174969130797578],[24.9940668036666]
[13.38969230765306],[15.174984615340135],[24.994092307619045]
[13.390095327256509],[15.175441370890711],[24.99484461087882]
[13.390101141041738],[15.175447959847302],[24.99485546327791]
[13.38993110439069],[15.175255251642781],[24.994538061529287]
[13.390071671216957],[15.175414560712552],[24.99480045293832]
[13.39008149447747],[15.175425693741134],[24.99481878969128]
[13.392060674234074],[15.177668764131951],[24.998513258570274]
[13.391657768745908],[15.17721213791203],[24.997761168325695]
[13.391203907806796],[15.176697762181036],[24.99691396123935]
[13.391588580639715],[15.17713372472501],[24.997632017194135]
[13.391796147103094],[15.17736896671684],[24.99801947459244]
[13.39529797703663],[15.181337707308181],[25.00455622380171]
[13.400567787020307],[15.187310158623015],[25.01439320243791]
[13.392753342375508],[15.178453788025577],[24.99980623910095]
[13.401498982478781],[15.18836551347595],[25.01613143396039]
[13.402164201330287],[15.189119428174326],[25.017373175816537]
