Normalized multiplication count,Normalized sram filter read count
0.058830140128968256,0.34953703703703703
0.05883321854912764,0.3680555555555556
0.05883135114397321,0.44921875
0.058831662547831634,0.33203125
0.05888826884920635,0.4930555555555556
0.05888439360119048,0.4921875
0.058878580729166664,0.4427083333333333
0.058930136412132295,0.5138888888888888
0.058881902370323126,0.4296875
0.05887608949829932,0.3984375
0.059089781746031744,0.3263888888888889
0.059161750637755105,0.37890625
0.05917669802295918,0.390625
0.059058596318211705,0.4097222222222222
0.059156768176020405,0.37109375
0.05910196109693878,0.32421875
0.059120233399079555,0.4375
0.059136838329081634,0.359375
0.05912189094387755,0.34375
0.060090702947845805,0.3888888888888889
0.06000876913265306,0.38671875
0.05982940051020408,0.33203125
0.06004050925925926,0.4305555555555556
0.05980947066326531,0.29296875
0.060048628826530615,0.375
0.05960648148148148,0.2777777777777778
0.05982940051020408,0.3203125
0.05990911989795918,0.3515625
0.059895833333333336,0.3958333333333333
0.059650031887755105,0.28125
0.05996890943877551,0.33984375
0.059751157407407406,0.3263888888888889
0.0597297512755102,0.29296875
0.05982940051020408,0.32421875
0.059654706790123455,0.2708333333333333
0.06008848852040816,0.3828125
0.05953045280612245,0.234375
0.059751157407407406,0.3125
0.05939094387755102,0.20703125
0.05980947066326531,0.30859375
0.061224489795918366,0.4375
0.06098533163265306,0.359375
0.060267857142857144,0.22265625
0.06388888888888888,0.2916666666666667
0.06106505102040816,0.359375
0.06090561224489796,0.28125
0.06444444444444444,0.3541666666666667
0.06106505102040816,0.30859375
0.06074617346938776,0.23046875
0.06166666666666667,0.2152777777777778
0.061224489795918366,0.3828125
0.06114477040816327,0.375
