Normalized multiplication count,Normalized sram filter read count
0.20006198347107437,0.8112244897959183
0.2001953125,0.8125
0.20016718106995884,0.6875
0.20023517219387754,0.9375
0.2001953125,0.8125
0.2001953125,0.8125
0.20021004801097395,0.8125
0.20021524234693877,0.875
0.20023517219387754,0.9375
0.20025291495198902,0.9375
0.20023517219387754,0.9375
0.20021524234693877,0.875
0.2002551020408163,0.875
0.2002551020408163,0.9375
0.20072829964328182,0.8125
0.2002551020408163,1.0
0.20072115384615385,0.6875
0.2002551020408163,0.875
0.2002551020408163,0.8125
0.20109097633136094,0.9375
0.2002551020408163,0.9375
0.2002551020408163,0.9375
0.20118343195266272,1.0
0.2002551020408163,1.0
0.2002551020408163,0.9375
0.20344387755102042,0.875
0.20344387755102042,0.875
0.20444444444444446,1.0
0.20344387755102042,0.875
0.2013888888888889,0.9375
0.20408163265306123,1.0
0.20408163265306123,1.0
0.2013888888888889,0.8125
0.2037627551020408,0.9375
0.2037627551020408,0.9375
0.2013888888888889,0.875
0.2037627551020408,0.9375
0.20408163265306123,1.0
0.2013888888888889,0.875
0.20408163265306123,1.0
0.20344387755102042,0.875
0.2013888888888889,0.75
0.20344387755102042,0.875
0.2037627551020408,0.9375
0.20408163265306123,1.0
0.20408163265306123,0.875
0.203125,0.9375
0.20408163265306123,1.0
0.2325,0.8125
0.20408163265306123,0.8125
0.20408163265306123,0.875
0.235,0.875
0.20408163265306123,1.0
